customer_feedback,tenure,MonthlyCharges,Churn
Tech support was very helpful when I needed assistance.,65,111.05,0
Good monthly rates and easy-to-understand billing.,72,100.9,0
Frequent contract changes without notice.,12,78.95,1
Online security features meet my needs well.,71,66.85,0
Online security seems inadequate compared to others.,5,21.05,1
Tenure discounts made staying with this provider easy.,52,21.0,0
Tech support rarely resolves issues promptly.,25,98.5,1
Happy with the consistent service over the years.,1,20.2,0
Smooth billing system with paperless convenience.,1,19.45,0
Flexible contract terms suit my needs perfectly.,38,95.0,0
The tech support team is quick and professional.,66,45.55,0
Issues with online security features persisting.,68,110.0,1
Online security features have given me peace of mind.,5,24.3,0
I appreciate the flexible contract options.,72,104.15,0
The tech support team is quick and professional.,32,30.15,0
The support team made the setup process smooth.,43,94.35,0
Flexible contract terms suit my needs perfectly.,72,19.4,0
Dependents report frequent service interruptions.,55,96.75,1
Smooth billing system with paperless convenience.,52,57.95,0
Enjoying good service quality over the years.,43,91.65,0
Dependents report frequent service interruptions.,37,76.5,1
"Helpful tech support, available when needed.",64,54.6,0
Online security features have given me peace of mind.,3,89.85,0
I appreciate the flexible contract options.,36,31.05,0
Contract renewal terms lack flexibility.,10,100.25,1
Paperless billing is convenient and eco-friendly.,41,20.65,0
Billing is seamless with paperless billing.,27,85.2,0
I appreciate the flexible contract options.,56,99.8,0
Online security features meet my needs well.,6,20.7,0
Frequent contract changes without notice.,3,74.4,1
Flexible contract terms suit my needs perfectly.,7,50.7,0
Online security features meet my needs well.,4,20.85,0
Tenure discounts made staying with this provider easy.,33,88.95,0
Issues with online security features persisting.,27,78.05,1
Flexible contracts that fit my lifestyle.,72,23.55,0
Monthly charges are reasonable for the service.,1,19.75,0
Online security is a great added feature.,71,56.45,0
Tenure discounts made staying with this provider easy.,13,85.95,0
Dependents face frequent network drops.,25,58.6,1
Stable and affordable service throughout my tenure.,67,50.55,0
Tech support rarely resolves issues promptly.,1,35.45,1
Service quality drops significantly during peak hours.,2,44.35,1
Monthly charges are reasonable for the service.,43,25.7,0
Enjoying good service quality over the years.,23,75.0,0
Flexible contract terms suit my needs perfectly.,64,20.2,0
Partnered plan has been cost-effective and reliable.,57,19.6,0
Issues with online security features persisting.,1,70.45,1
Clear billing process with no surprise charges.,72,88.05,0
Tenure discounts were not applied as promised.,8,71.15,1
Clear billing process with no surprise charges.,61,101.05,0
Online security features meet my needs well.,64,84.3,0
Flexible contracts that fit my lifestyle.,71,23.95,0
Tech support was very helpful when I needed assistance.,65,99.05,0
Enjoying good service quality over the years.,3,19.6,0
Issues with online security features persisting.,1,45.65,1
Happy with the package offered for my household.,30,64.5,0
I appreciate the flexible contract options.,15,69.5,0
Online security features keep my data safe.,8,68.55,0
Contract terms feel rigid and hard to adjust.,7,95.0,1
Easy setup and reliable network with no drops.,70,108.15,0
Dependents find the network reliable and fast.,62,86.1,0
Enjoying affordable rates and stable monthly charges.,6,19.7,0
Tenure discounts make the service worth it.,14,80.9,0
Paperless billing is convenient and eco-friendly.,22,84.15,0
Online security features meet my needs well.,22,20.15,0
Great experience with minimal downtime.,16,64.25,0
Good monthly rates and easy-to-understand billing.,10,25.7,0
Reliable monthly charges and no unexpected fees.,13,56.0,0
Online security seems inadequate compared to others.,20,82.4,1
Partner and dependents also satisfied with the plan.,2,69.7,0
Smooth billing system with paperless convenience.,53,73.9,0
Online security is a great added feature.,11,20.6,0
Tenure discounts make the service worth it.,69,19.9,0
Technical support often leaves issues unresolved.,4,70.9,1
Flexible contracts that fit my lifestyle.,72,89.05,0
Contract terms feel rigid and hard to adjust.,58,45.3,1
Satisfied with the support offered by tech specialists.,16,20.4,0
Satisfied with the support offered by tech specialists.,43,84.25,0
Partnered plan does not seem cost-effective anymore.,2,104.4,1
I appreciate the flexible contract options.,14,81.95,0
Paperless billing fails to capture accurate details.,53,94.85,1
I appreciate the flexible contract options.,32,20.55,0
Enjoying good service quality over the years.,34,24.7,0
Tech support response times are too slow.,15,74.45,1
The online security features feel minimal.,7,76.45,1
Partner and dependents also satisfied with the plan.,15,105.35,0
Partnered plan has been cost-effective and reliable.,61,20.55,0
Monthly billing errors are a common occurrence.,1,29.95,1
Stable and affordable service throughout my tenure.,1,45.3,0
Issues with online security features persisting.,8,84.5,1
Stable and affordable service throughout my tenure.,33,74.75,0
Monthly charges have unexpected increases frequently.,13,79.25,1
Frequent billing issues make the service frustrating.,1,24.8,1
Online security features meet my needs well.,20,51.8,0
The support team made the setup process smooth.,3,30.4,0
Enjoying affordable rates and stable monthly charges.,13,19.65,0
Tenure discounts made staying with this provider easy.,40,56.6,0
Dependents also use the service with no issues.,43,71.9,0
Tech support often fails to resolve issues effectively.,6,91.0,1
The partner-friendly plans fit our budget well.,69,19.75,0
Partner and dependents also satisfied with the plan.,72,109.7,0
Online security is a great added feature.,59,19.3,0
I appreciate the flexible contract options.,20,96.55,0
The tech support team is quick and professional.,24,24.1,0
Flexible contracts that fit my lifestyle.,59,111.35,0
Stable and affordable service throughout my tenure.,72,112.25,0
Online security features keep my data safe.,1,20.75,0
The partner-friendly plans fit our budget well.,27,101.9,0
Flexible contracts that fit my lifestyle.,14,80.05,0
Great experience with minimal downtime.,71,105.55,0
Online security features have given me peace of mind.,13,78.3,0
Enjoying affordable rates and stable monthly charges.,44,68.85,0
Easy setup and reliable network with no drops.,33,79.95,0
Online security features have given me peace of mind.,72,55.45,0
High charges without any added benefits.,1,79.9,1
Monthly billing errors are a common occurrence.,19,106.6,1
Online security features meet my needs well.,64,102.45,0
Frequent contract changes without notice.,2,46.0,1
The tech support team is quick and professional.,1,25.25,0
The partner-friendly plans fit our budget well.,61,19.75,0
Great service with no interruptions during my tenure.,29,20.0,0
Partnered plan has been cost-effective and reliable.,23,86.8,0
Online security features keep my data safe.,57,58.75,0
Reliable monthly charges and no unexpected fees.,72,45.25,0
Smooth billing system with paperless convenience.,66,56.6,0
Flexible contracts that fit my lifestyle.,65,84.2,0
Monthly charges are reasonable for the service.,8,80.0,0
Tech support response times are too slow.,4,70.15,1
Online security is a great added feature.,71,24.75,0
Paperless billing is convenient and eco-friendly.,1,20.2,0
High charges without any added benefits.,4,50.05,1
Satisfied with the support offered by tech specialists.,12,19.35,0
Reliable monthly charges and no unexpected fees.,24,50.6,0
The partner-friendly plans fit our budget well.,31,81.15,0
Frequent billing issues make the service frustrating.,1,55.2,1
Dependents find the network reliable and fast.,30,89.9,0
Tenure discounts made staying with this provider easy.,47,85.3,0
The tech support team is quick and professional.,54,108.0,0
Happy with the package offered for my household.,50,93.5,0
Contract terms feel rigid and hard to adjust.,1,84.6,1
Dependents also use the service with no issues.,72,20.25,0
Partner and dependents also satisfied with the plan.,29,25.15,0
Monthly charges are inconsistent and unpredictable.,2,54.4,1
Tenure discounts make the service worth it.,10,29.6,0
Paperless billing is convenient and eco-friendly.,18,73.15,0
Dependents face frequent network drops.,11,95.0,1
Dependents also use the service with no issues.,16,19.75,0
Partnered plan has been cost-effective and reliable.,72,86.6,0
Tenure discounts make the service worth it.,72,109.2,0
Flexible contract terms suit my needs perfectly.,41,74.7,0
The partner-friendly plans fit our budget well.,65,94.4,0
Happy with the consistent service over the years.,13,54.8,0
Online security features meet my needs well.,4,75.35,0
Reliable monthly charges and no unexpected fees.,41,65.0,0
Tech support is not helpful during peak times.,15,74.4,1
Tech support rarely resolves issues promptly.,1,48.55,1
Tech support has been quick and effective every time.,42,99.0,0
Dependents find the network reliable and fast.,51,93.5,0
Contract terms do not accommodate long-term customers.,2,70.4,1
Technical support often leaves issues unresolved.,1,40.2,1
Online security features keep my data safe.,32,83.7,0
Billing is seamless with paperless billing.,10,19.85,0
Dependents find the network reliable and fast.,67,59.55,0
Smooth billing system with paperless convenience.,61,115.1,0
Partnered plan has been cost-effective and reliable.,50,114.35,0
Dependents report frequent service interruptions.,2,44.6,1
Flexible contract terms suit my needs perfectly.,29,45.0,0
Monthly charges have unexpected increases frequently.,3,41.15,1
Frequent billing issues make the service frustrating.,13,106.9,1
Dependents also use the service with no issues.,57,89.85,0
Clear billing process with no surprise charges.,31,49.85,0
Clear billing process with no surprise charges.,45,113.3,0
Online security features meet my needs well.,61,88.1,0
Billing is seamless with paperless billing.,50,24.9,0
Reliable monthly charges and no unexpected fees.,19,105.0,0
Paperless billing fails to capture accurate details.,59,19.35,1
Good monthly rates and easy-to-understand billing.,71,24.25,0
High charges without any added benefits.,16,94.45,1
Online security features keep my data safe.,57,59.75,0
Frequent network issues during peak usage.,1,24.8,1
Online security features keep my data safe.,20,107.05,0
Partnered plan does not seem cost-effective anymore.,1,70.6,1
Tech support often fails to resolve issues effectively.,5,85.4,1
Service quality drops significantly during peak hours.,52,105.05,1
The tech support team is quick and professional.,21,64.95,0
Tenure discounts made staying with this provider easy.,14,55.0,0
"Helpful tech support, available when needed.",5,50.55,0
Satisfied with the support offered by tech specialists.,6,55.15,0
Flexible contract terms suit my needs perfectly.,10,51.2,0
Great service with no interruptions during my tenure.,1,25.4,0
Dependents also use the service with no issues.,68,54.45,0
Support team rarely resolves issues in one call.,18,95.15,1
Partnered plan has been cost-effective and reliable.,22,76.0,0
Tenure discounts made staying with this provider easy.,20,44.35,0
Frequent contract changes without notice.,1,70.0,1
Monthly charges feel high for the service provided.,8,74.5,1
Tech support is not helpful during peak times.,10,44.85,1
Dependents report frequent service interruptions.,24,76.1,1
Great service with no interruptions during my tenure.,35,61.2,0
The partner-friendly plans fit our budget well.,23,86.8,0
Partnered plan has been cost-effective and reliable.,6,89.35,0
Great experience with minimal downtime.,12,19.7,0
Online security is a great added feature.,1,20.25,0
Online security features have given me peace of mind.,71,76.05,0
Tenure discounts made staying with this provider easy.,35,100.8,0
Tenure discounts make the service worth it.,40,74.55,0
Issues with online security features persisting.,1,73.6,1
Billing is seamless with paperless billing.,23,64.9,0
Partnered plan does not seem cost-effective anymore.,4,95.45,1
The tech support team is quick and professional.,4,90.4,0
Online security is a great added feature.,68,60.3,0
Great experience with minimal downtime.,38,81.85,0
Stable and affordable service throughout my tenure.,52,24.8,0
Partnered plan does not seem cost-effective anymore.,32,74.9,1
Partner and dependents also satisfied with the plan.,29,75.55,0
Flexible contracts that fit my lifestyle.,38,101.15,0
Stable and affordable service throughout my tenure.,48,78.75,0
Dependents find the network reliable and fast.,1,19.25,0
Partnered plan has been cost-effective and reliable.,22,89.05,0
Satisfied with the support offered by tech specialists.,43,115.05,0
Happy with the consistent service over the years.,5,69.35,0
Dependents face frequent network drops.,5,80.6,1
The partner-friendly plans fit our budget well.,51,110.05,0
Great experience with minimal downtime.,71,19.9,0
Contract terms feel rigid and hard to adjust.,38,80.3,1
Tech support often fails to resolve issues effectively.,24,93.15,1
Great experience with minimal downtime.,35,91.5,0
Paperless billing errors are too common.,54,82.45,1
Tenure discounts made staying with this provider easy.,72,60.0,0
Good monthly rates and easy-to-understand billing.,1,44.8,0
The tech support team is quick and professional.,9,48.6,0
Partner and dependents also satisfied with the plan.,69,60.05,0
Enjoying good service quality over the years.,52,102.7,0
Great experience with minimal downtime.,11,82.9,0
Service quality drops significantly during peak hours.,2,70.35,1
Satisfied with the support offered by tech specialists.,28,35.9,0
Partner and dependents also satisfied with the plan.,17,82.65,0
Smooth billing system with paperless convenience.,35,19.85,0
Easy setup and reliable network with no drops.,8,19.2,0
Online security features keep my data safe.,46,94.9,0
The online security features feel minimal.,7,73.85,1
Dependents complain of frequent disconnections.,2,80.6,1
Contract terms feel rigid and hard to adjust.,68,75.8,1
Frequent outages even after being a long-term customer.,43,104.6,1
Tech support was very helpful when I needed assistance.,68,88.15,0
Happy with the consistent service over the years.,36,94.8,0
Issues with online security features persisting.,63,103.4,1
Enjoying affordable rates and stable monthly charges.,32,54.65,0
Great service with no interruptions during my tenure.,71,85.75,0
I appreciate the flexible contract options.,66,67.45,0
The support team made the setup process smooth.,63,20.5,0
Stable and affordable service throughout my tenure.,41,20.25,0
Reliable monthly charges and no unexpected fees.,1,72.1,0
Paperless billing errors are too common.,2,90.4,1
"Helpful tech support, available when needed.",70,19.45,0
Paperless billing is convenient and eco-friendly.,23,44.95,0
Satisfied with the support offered by tech specialists.,64,97.0,0
Enjoying affordable rates and stable monthly charges.,37,62.8,0
Stable and affordable service throughout my tenure.,17,44.6,0
Partnered plan has been cost-effective and reliable.,7,89.15,0
Frequent network issues during peak usage.,4,84.8,1
Dependents report frequent service interruptions.,21,41.9,1
Technical support often leaves issues unresolved.,10,80.25,1
Partnered plan has been cost-effective and reliable.,16,54.1,0
I appreciate the flexible contract options.,64,105.25,0
Monthly billing errors are a common occurrence.,27,30.75,1
Partner and dependents also satisfied with the plan.,42,97.1,0
I appreciate the flexible contract options.,5,20.2,0
Great experience with minimal downtime.,41,98.8,0
Partnered plan has been cost-effective and reliable.,58,50.3,0
Smooth billing system with paperless convenience.,47,20.55,0
Enjoying good service quality over the years.,18,75.9,0
Frequent billing issues make the service frustrating.,5,96.5,1
Enjoying affordable rates and stable monthly charges.,23,59.95,0
Partner and dependents also satisfied with the plan.,1,19.15,0
The tech support team is quick and professional.,71,98.65,0
Satisfied with the support offered by tech specialists.,72,112.6,0
Smooth billing system with paperless convenience.,33,20.6,0
Partnered plan lacks sufficient network stability.,2,85.65,1
Monthly charges are reasonable for the service.,24,35.75,0
Reliable monthly charges and no unexpected fees.,56,99.75,0
Dependents also use the service with no issues.,37,96.1,0
Happy with the consistent service over the years.,43,85.1,0
Online security is a great added feature.,1,25.35,0
The online security features feel minimal.,25,104.95,1
The support team made the setup process smooth.,61,89.65,0
Tenure discounts make the service worth it.,17,86.75,0
Paperless billing is convenient and eco-friendly.,41,86.2,0
Dependents face frequent network drops.,1,50.65,1
"Helpful tech support, available when needed.",72,64.8,0
Contract renewal terms lack flexibility.,1,90.85,1
Paperless billing is convenient and eco-friendly.,48,108.1,0
Service quality drops significantly during peak hours.,11,19.95,1
Dependents complain of frequent disconnections.,55,85.45,1
Billing is seamless with paperless billing.,42,54.75,0
Flexible contracts that fit my lifestyle.,44,90.4,0
Partner and dependents also satisfied with the plan.,1,44.0,0
The partner-friendly plans fit our budget well.,27,95.6,0
Online security features have given me peace of mind.,27,84.8,0
Great experience with minimal downtime.,2,44.3,0
Clear billing process with no surprise charges.,19,19.9,0
Billing is seamless with paperless billing.,42,95.05,0
Flexible contract terms suit my needs perfectly.,66,90.05,0
The tech support team is quick and professional.,33,109.9,0
Partnered plan does not seem cost-effective anymore.,34,73.95,1
The support team made the setup process smooth.,33,54.6,0
Satisfied with the support offered by tech specialists.,23,20.05,0
"Helpful tech support, available when needed.",32,19.75,0
"Helpful tech support, available when needed.",11,20.05,0
Frequent contract changes without notice.,69,99.45,1
Easy setup and reliable network with no drops.,68,55.9,0
Clear billing process with no surprise charges.,20,19.7,0
The support team made the setup process smooth.,72,19.8,0
"Helpful tech support, available when needed.",60,95.4,0
Tenure discounts made staying with this provider easy.,32,93.95,0
Frequent billing issues make the service frustrating.,1,19.9,1
The online security features feel minimal.,1,19.6,1
The billing system is often confusing and inaccurate.,3,81.35,1
Flexible contract terms suit my needs perfectly.,46,24.45,0
Partnered plan has been cost-effective and reliable.,29,74.95,0
The tech support team is quick and professional.,51,87.35,0
Great service with no interruptions during my tenure.,48,70.65,0
The tech support team is quick and professional.,16,73.25,0
Clear billing process with no surprise charges.,70,98.7,0
Online security features keep my data safe.,40,24.8,0
Partnered plan lacks sufficient network stability.,22,83.3,1
Contract terms do not accommodate long-term customers.,1,75.3,1
Tech support was very helpful when I needed assistance.,5,24.3,0
Online security features have given me peace of mind.,7,69.85,0
Reliable monthly charges and no unexpected fees.,29,100.55,0
Tech support has been quick and effective every time.,44,25.7,0
Partner and dependents also satisfied with the plan.,10,40.7,0
Enjoying good service quality over the years.,55,51.65,0
Flexible contracts that fit my lifestyle.,52,105.1,0
Flexible contracts that fit my lifestyle.,10,85.95,0
Stable and affordable service throughout my tenure.,18,75.6,0
Easy setup and reliable network with no drops.,68,58.25,0
Tech support rarely resolves issues promptly.,61,19.4,1
Tenure discounts made staying with this provider easy.,72,65.2,0
Online security features have given me peace of mind.,2,53.45,0
Dependents report frequent service interruptions.,12,45.4,1
Good monthly rates and easy-to-understand billing.,41,19.75,0
"Helpful tech support, available when needed.",26,44.45,0
Partner and dependents also satisfied with the plan.,36,20.85,0
Tech support was very helpful when I needed assistance.,72,114.05,0
Happy with the consistent service over the years.,35,89.85,0
Enjoying affordable rates and stable monthly charges.,1,55.05,0
Happy with the package offered for my household.,16,112.95,0
The support team made the setup process smooth.,49,101.55,0
Clear billing process with no surprise charges.,54,114.65,0
I appreciate the flexible contract options.,18,64.8,0
Smooth billing system with paperless convenience.,36,80.4,0
Issues with online security features persisting.,60,105.9,1
Service quality drops significantly during peak hours.,1,69.55,1
Great experience with minimal downtime.,52,25.05,0
Great service with no interruptions during my tenure.,8,94.75,0
Reliable monthly charges and no unexpected fees.,72,105.5,0
Great service with no interruptions during my tenure.,64,24.7,0
Online security features have given me peace of mind.,22,69.75,0
Reliable monthly charges and no unexpected fees.,60,60.2,0
Contract terms do not accommodate long-term customers.,28,81.05,1
Enjoying affordable rates and stable monthly charges.,61,24.4,0
Satisfied with the support offered by tech specialists.,24,104.15,0
Flexible contract terms suit my needs perfectly.,28,92.9,0
Monthly charges are reasonable for the service.,30,80.8,0
Enjoying good service quality over the years.,2,20.0,0
The partner-friendly plans fit our budget well.,1,75.1,0
Dependents also use the service with no issues.,6,19.65,0
Online security is a great added feature.,24,69.45,0
Monthly billing errors are a common occurrence.,4,101.15,1
Frequent contract changes without notice.,7,99.8,1
Tenure discounts made staying with this provider easy.,72,116.05,0
Online security is a great added feature.,70,40.05,0
Tech support was very helpful when I needed assistance.,64,102.1,0
Enjoying affordable rates and stable monthly charges.,72,89.7,0
Great service with no interruptions during my tenure.,44,19.9,0
Frequent outages even after being a long-term customer.,13,55.95,1
"Helpful tech support, available when needed.",17,20.65,0
The online security features feel minimal.,1,55.0,1
Tech support has been quick and effective every time.,9,70.05,0
Dependents also use the service with no issues.,24,53.6,0
Partnered plan lacks sufficient network stability.,1,74.7,1
Monthly charges have unexpected increases frequently.,24,80.25,1
I appreciate the flexible contract options.,35,76.05,0
Good monthly rates and easy-to-understand billing.,7,75.7,0
High charges without any added benefits.,5,96.1,1
Tech support is not helpful during peak times.,15,69.0,1
I appreciate the flexible contract options.,11,19.65,0
Contract renewal terms lack flexibility.,48,45.3,1
Online security features keep my data safe.,20,81.45,0
Enjoying affordable rates and stable monthly charges.,72,108.5,0
Paperless billing errors are too common.,8,83.55,1
The partner-friendly plans fit our budget well.,72,84.5,0
Enjoying affordable rates and stable monthly charges.,15,100.15,0
The tech support team is quick and professional.,72,88.6,0
Happy with the package offered for my household.,0,52.55,0
Contract terms feel rigid and hard to adjust.,1,74.35,1
Enjoying affordable rates and stable monthly charges.,63,104.8,0
Happy with the package offered for my household.,2,59.0,0
Dependents complain of frequent disconnections.,2,74.4,1
Online security features keep my data safe.,61,64.05,0
Stable and affordable service throughout my tenure.,1,20.4,0
Contract renewal terms lack flexibility.,22,43.75,1
Partnered plan has been cost-effective and reliable.,28,60.9,0
Stable and affordable service throughout my tenure.,70,19.8,0
Billing statements are often unclear or incorrect.,5,28.45,1
Monthly charges are inconsistent and unpredictable.,12,99.7,1
Easy setup and reliable network with no drops.,34,116.25,0
Paperless billing is convenient and eco-friendly.,71,80.7,0
The support team made the setup process smooth.,70,65.2,0
Tenure discounts make the service worth it.,52,84.05,0
Online security is a great added feature.,69,79.45,0
Frequent billing issues make the service frustrating.,20,94.1,1
Easy setup and reliable network with no drops.,11,78.0,0
Tech support response times are too slow.,2,94.2,1
Tenure discounts were not applied as promised.,6,80.5,1
Billing is seamless with paperless billing.,1,19.85,0
Partnered plan has been cost-effective and reliable.,20,94.3,0
I appreciate the flexible contract options.,61,106.45,0
Frequent outages even after being a long-term customer.,5,74.35,1
Online security features keep my data safe.,56,105.45,0
Partnered plan has been cost-effective and reliable.,30,95.0,0
Paperless billing fails to capture accurate details.,40,104.8,1
Flexible contracts that fit my lifestyle.,28,54.3,0
I appreciate the flexible contract options.,5,70.05,0
The online security features feel minimal.,27,75.2,1
Great experience with minimal downtime.,12,20.05,0
Tech support was very helpful when I needed assistance.,67,105.4,0
Great experience with minimal downtime.,29,51.6,0
Tenure discounts made staying with this provider easy.,55,85.5,0
Contract terms do not accommodate long-term customers.,23,75.6,1
Paperless billing fails to capture accurate details.,34,100.05,1
Tenure discounts make the service worth it.,52,91.25,0
Online security features have given me peace of mind.,72,115.75,0
Satisfied with the support offered by tech specialists.,58,94.7,0
Online security features have given me peace of mind.,35,19.6,0
Online security is a great added feature.,56,99.9,0
"Helpful tech support, available when needed.",24,21.1,0
Billing is seamless with paperless billing.,70,20.05,0
Good monthly rates and easy-to-understand billing.,2,79.95,0
Easy setup and reliable network with no drops.,68,107.15,0
Dependents complain of frequent disconnections.,1,85.0,1
Paperless billing is convenient and eco-friendly.,12,89.55,0
Stable and affordable service throughout my tenure.,63,81.55,0
"Helpful tech support, available when needed.",33,58.45,0
Online security is a great added feature.,69,95.65,0
Happy with the package offered for my household.,60,80.6,0
Online security features keep my data safe.,72,113.1,0
Great experience with minimal downtime.,11,58.95,0
The tech support team is quick and professional.,1,19.55,0
Contract terms do not accommodate long-term customers.,10,86.05,1
Dependents report frequent service interruptions.,13,45.55,1
Online security features keep my data safe.,34,78.95,0
Tech support is not helpful during peak times.,39,86.3,1
Happy with the package offered for my household.,65,105.05,0
Reliable monthly charges and no unexpected fees.,50,101.9,0
Happy with the package offered for my household.,15,19.75,0
Online security features keep my data safe.,72,110.3,0
I appreciate the flexible contract options.,72,115.6,0
Smooth billing system with paperless convenience.,55,19.35,0
Happy with the consistent service over the years.,23,25.6,0
The online security features feel minimal.,32,80.35,1
I appreciate the flexible contract options.,56,68.75,0
Great service with no interruptions during my tenure.,1,19.9,0
Partner and dependents also satisfied with the plan.,38,70.6,0
Great service with no interruptions during my tenure.,11,70.2,0
Smooth billing system with paperless convenience.,1,49.3,0
The support team made the setup process smooth.,56,107.25,0
Great experience with minimal downtime.,3,23.6,0
Happy with the consistent service over the years.,7,69.7,0
Online security features have given me peace of mind.,59,99.5,0
Stable and affordable service throughout my tenure.,7,64.3,0
Easy setup and reliable network with no drops.,71,70.85,0
Clear billing process with no surprise charges.,15,101.9,0
Stable and affordable service throughout my tenure.,71,73.5,0
Partnered plan does not seem cost-effective anymore.,35,100.25,1
Easy setup and reliable network with no drops.,11,40.4,0
Enjoying affordable rates and stable monthly charges.,60,19.25,0
Tech support was very helpful when I needed assistance.,47,59.6,0
Good monthly rates and easy-to-understand billing.,11,64.9,0
Service quality drops significantly during peak hours.,56,100.3,1
Great service with no interruptions during my tenure.,28,110.85,0
Online security features meet my needs well.,61,81.05,0
Monthly charges are reasonable for the service.,31,98.05,0
Online security features have given me peace of mind.,9,70.5,0
Easy setup and reliable network with no drops.,35,94.55,0
Flexible contracts that fit my lifestyle.,2,19.65,0
Tech support response times are too slow.,12,19.0,1
Dependents report frequent service interruptions.,1,75.3,1
Monthly charges have unexpected increases frequently.,4,89.2,1
Tech support was very helpful when I needed assistance.,1,19.0,0
Clear billing process with no surprise charges.,3,20.0,0
Frequent outages even after being a long-term customer.,1,85.7,1
Easy setup and reliable network with no drops.,52,63.25,0
Monthly charges are reasonable for the service.,5,20.1,0
Online security features keep my data safe.,72,99.15,0
Online security is a great added feature.,71,90.4,0
